Epoch,Loss,Recall,NDCG,Training Time
0,54.78002065420151,0.010301891714334488,0.07432522624731064,2.6398773193359375
1,54.69900906085968,0.01123261358588934,0.07781896740198135,2.644737720489502
2,54.60642033815384,0.010903915390372276,0.0759325698018074,2.592367649078369
3,54.55167359113693,0.01402235496789217,0.0891992598772049,2.693894624710083
4,54.44446921348572,0.014121465384960175,0.08811308443546295,2.6101033687591553
5,54.3108189702034,0.016144273802638054,0.09688752144575119,2.611811637878418
6,54.10718262195587,0.019204603508114815,0.10505950450897217,2.628263473510742
7,53.834028363227844,0.023353436961770058,0.12534892559051514,2.60687255859375
8,53.37464618682861,0.026736311614513397,0.13783684372901917,2.607163190841675
9,52.61008924245834,0.04615234583616257,0.1734135001897812,2.5956368446350098
10,51.34297972917557,0.054965510964393616,0.19552795588970184,2.598220109939575
11,49.080415308475494,0.0654388964176178,0.23054958879947662,2.594402313232422
12,46.135447800159454,0.0783248171210289,0.24202249944210052,2.5873863697052
13,43.50626868009567,0.08825797587633133,0.2885148227214813,2.6188883781433105
14,41.668774008750916,0.09312858432531357,0.2886683940887451,2.646034002304077
15,40.43496587872505,0.10253944993019104,0.31966590881347656,2.6327388286590576
16,39.6295722424984,0.1103728637099266,0.32801932096481323,2.5917599201202393
17,38.99494105577469,0.11701176315546036,0.344929039478302,2.579681634902954
18,38.385455936193466,0.13527876138687134,0.36545833945274353,2.578880786895752
19,37.8636654317379,0.13887235522270203,0.37364035844802856,2.5811514854431152
20,37.38786965608597,0.13919565081596375,0.38084396719932556,2.5989532470703125
21,37.06679195165634,0.1436605453491211,0.3933502733707428,2.6448986530303955
22,36.6849262714386,0.15281204879283905,0.4107342064380646,2.595710515975952
23,36.37486121058464,0.16702581942081451,0.4344707131385803,2.5959079265594482
24,36.038083761930466,0.17884206771850586,0.4459454417228699,2.650512933731079
25,35.68670126795769,0.1682056337594986,0.44667020440101624,2.61615252494812
26,35.43451946973801,0.1880825161933899,0.46389129757881165,2.6270129680633545
27,35.031049728393555,0.19156920909881592,0.4695681929588318,2.6325576305389404
