Epoch,Loss,Recall,NDCG,Training Time
28,34.727247059345245,0.2095070630311966,0.4813028872013092,2.6383073329925537
29,34.19720819592476,0.21250984072685242,0.5038922429084778,2.638641834259033
30,33.95937156677246,0.2183242291212082,0.4950045049190521,2.6323230266571045
31,33.56663018465042,0.2268015295267105,0.5087562203407288,2.625373601913452
32,33.05581197142601,0.22070209681987762,0.5161802768707275,2.620208978652954
33,32.603431195020676,0.23978282511234283,0.5289443731307983,2.621183395385742
34,32.24114045500755,0.23641395568847656,0.5362820029258728,2.596900224685669
35,31.79829517006874,0.24370671808719635,0.5406026244163513,2.5959086418151855
36,31.277437835931778,0.24916423857212067,0.5531070828437805,2.5973942279815674
37,30.982727617025375,0.2502070367336273,0.550487756729126,2.5918214321136475
38,30.488604307174683,0.24797511100769043,0.5528857111930847,2.632298707962036
39,30.084249436855316,0.2569456994533539,0.5694637894630432,2.6110448837280273
40,29.507012248039246,0.25689131021499634,0.5712316632270813,2.5971291065216064
41,29.004537910223007,0.2585238814353943,0.5752225518226624,2.5866942405700684
42,28.57764047384262,0.25992071628570557,0.5656803846359253,2.5922443866729736
43,28.17591381072998,0.26274093985557556,0.5778436660766602,2.593480110168457
44,27.736428827047348,0.26454153656959534,0.5835784673690796,2.5970280170440674
45,27.30232036113739,0.26623114943504333,0.5810114741325378,2.586486577987671
46,26.873878628015518,0.2680579125881195,0.578902006149292,2.5787782669067383
47,26.48980340361595,0.2641856372356415,0.5908679962158203,2.586311101913452
48,26.047388553619385,0.2664910852909088,0.5828508734703064,2.5967979431152344
49,25.549301773309708,0.2642506957054138,0.5841647982597351,2.5883052349090576
50,25.251229166984558,0.26731979846954346,0.5879880785942078,2.5836548805236816
51,24.78269675374031,0.26907986402511597,0.5908123254776001,2.5928778648376465
52,24.416123270988464,0.2691311836242676,0.5915412306785583,2.5777969360351562
53,23.94491669535637,0.27021706104278564,0.5883649587631226,2.575429916381836
54,23.635158449411392,0.27128106355667114,0.5954117178916931,2.5867059230804443
55,23.345162987709045,0.26831042766571045,0.5957330465316772,2.582942008972168
56,23.091842353343964,0.2723124623298645,0.5986627340316772,2.5862560272216797
57,22.733142495155334,0.2722688317298889,0.5966889262199402,2.586625337600708
58,22.462458610534668,0.27572470903396606,0.6039006114006042,2.599130153656006
59,22.090954691171646,0.27503252029418945,0.6007386445999146,2.5834145545959473
60,21.7915198802948,0.27708467841148376,0.606294572353363,2.5979902744293213
61,21.466728180646896,0.2747383415699005,0.6068429350852966,2.625441789627075
62,21.27810138463974,0.277621328830719,0.6040183305740356,2.59261155128479
63,21.035330340266228,0.27570441365242004,0.6109544634819031,2.5755820274353027
64,20.646470919251442,0.27773618698120117,0.604340136051178,2.5744168758392334
65,20.538177251815796,0.2797170877456665,0.6097308993339539,2.5776264667510986
66,20.414860650897026,0.2777279019355774,0.6092736721038818,2.5830934047698975
67,20.10090121626854,0.278420627117157,0.6120063662528992,2.573786973953247
68,20.03608348965645,0.2780188024044037,0.6066591739654541,2.576220989227295
69,19.695679754018784,0.2807616591453552,0.6100464463233948,2.5773990154266357
70,19.417927101254463,0.28308403491973877,0.608722984790802,2.5826258659362793
71,19.453643903136253,0.28612205386161804,0.612291157245636,2.5828452110290527
72,19.02558571100235,0.28591567277908325,0.6171597242355347,2.574514865875244
73,19.087046414613724,0.28516143560409546,0.6207445859909058,2.582080364227295
74,18.949163526296616,0.28826701641082764,0.6163754463195801,2.6011674404144287
75,18.602873265743256,0.2868662178516388,0.6137106418609619,2.583223819732666
76,18.641003862023354,0.287537157535553,0.6142062544822693,2.6238646507263184
77,18.562005445361137,0.2839928865432739,0.6176306009292603,2.6246957778930664
78,18.602079838514328,0.2886265218257904,0.6185044050216675,2.640556573867798
79,18.297561287879944,0.2885585129261017,0.6157306432723999,2.6326723098754883
80,17.937884509563446,0.2879907488822937,0.6160454154014587,2.6304426193237305
81,17.875903472304344,0.28717929124832153,0.6171612739562988,2.6223084926605225
82,17.847813799977303,0.2853299081325531,0.6182360649108887,2.6348915100097656
83,17.76371718943119,0.29160645604133606,0.6184937953948975,2.6364450454711914
84,17.67635202407837,0.2879728078842163,0.6201169490814209,2.636939764022827
85,17.51049229502678,0.2904680669307709,0.6190205216407776,2.5983803272247314
86,17.295458421111107,0.28885242342948914,0.6208897829055786,2.5930376052856445
87,17.40308178961277,0.28845319151878357,0.621281087398529,2.5764408111572266
88,17.38245190680027,0.2892577350139618,0.6212884783744812,2.574307680130005
